EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20210801,미쓰비시,142000,14.6
20150801,크라이슬러,172000,11.5
20230201,미쓰비시,209000,11.3
20230201,GMC,300000,5.4
20190701,미쓰비시,170000,8.0
20230801,포르쉐,240000,13.3
20160501,아우디,205000,12.3
20170901,폭스바겐,175000,11.2
20221101,시트로엥,146000,9.2
20210801,시트로엥,183000,12.1
20240301,시트로엥,162000,8.9
20220101,시트로엥,213000,9.7
20210201,시트로엥,142000,8.1
20200401,시트로엥,110000,6.0
20151001,벤츠,210000,14.5
20230801,마이바흐,152000,14.6
20210501,크라이슬러,197000,13.6
20240501,크라이슬러,207000,16.0
20190301,크라이슬러,195000,13.2
20230101,지프,233000,13.4
20180801,링컨,191000,13.1
20170401,링컨,179000,13.6
20200701,링컨,199000,12.8
20180701,링컨,213000,12.3
20190401,링컨,192000,12.6
20230401,포드,194000,13.2
20220401,링컨,219000,13.6
20150901,링컨,159000,11.7
20171001,링컨,190000,12.3
20180601,링컨,189000,13.3
20210801,링컨,204000,11.9
20180501,링컨,167000,11.5
20181001,링컨,200000,12.6
20160701,벤츠,229000,15.3
20211001,지프,233000,13.9
20220101,지프,198000,12.8
20210301,포드,212000,13.0
20210101,캐딜락,187000,14.6
20190201,캐딜락,189000,12.3
20170201,캐딜락,206000,13.5
20220501,캐딜락,204000,13.9
20230101,캐딜락,173000,12.5
20230501,푸조,208000,13.1
20230601,푸조,195000,12.6
20161101,푸조,189000,9.8
20240301,푸조,197000,13.4
20230901,푸조,203000,13.2
20190401,푸조,209000,12.0
20170101,푸조,191000,10.1
20221101,푸조,193000,12.3
20211101,푸조,203000,12.6
20240501,푸조,208000,12.6
20191101,푸조,188000,11.9
20230601,포르쉐,216000,13.5
20240301,닷지,229000,18.7
20200401,사브,208000,17.7
20190301,사브,188000,14.7
20240401,사브,212000,21.1
20171001,사브,208000,16.3
20220401,사브,206000,18.5
20220501,사브,208000,17.4
20240101,사브,232000,17.9
20231101,사브,205000,18.7
20200901,사브,213000,18.8
20230901,사브,245000,20.8
20160301,사브,247000,16.6
20150801,푸조,187000,10.1
20170101,닷지,252000,17.9
20151101,사브,209000,13.0
20220501,시트로엥,168000,6.5
20231101,캐딜락,167000,11.5
20171201,닷지,200000,19.4
20220601,피아트,119000,8.5
20220201,피아트,174000,7.8
20211201,피아트,105000,7.6
20230101,피아트,100000,9.1
20230201,피아트,153000,9.5
20201101,재규어,178000,10.2
20180801,재규어,149000,10.0
20200601,재규어,213000,11.6
20230901,재규어,197000,12.0
20220301,재규어,183000,11.7
20200101,재규어,217000,12.3
20220601,재규어,177000,12.3
20230601,재규어,193000,12.2
20181201,재규어,198000,11.7
20200501,재규어,167000,10.5
20180501,볼보,219000,13.8
20190501,볼보,225000,15.0
20220201,볼보,224000,15.7
20231201,볼보,228000,15.0
20230301,볼보,234000,15.4
20151101,렉서스,184000,10.4
20170601,렉서스,218000,12.5
20170201,렉서스,195000,11.5
20230401,재규어,202000,12.0
20150701,재규어,214000,8.6
20240401,벤틀리,221000,16.1
20231101,재규어,199000,11.7
20220201,랜드로버,266000,14.7
20230401,랜드로버,293000,14.0
20210301,랜드로버,253000,16.0
20230201,랜드로버,242000,12.3
20190501,랜드로버,224000,12.9
20231101,마세라티,108000,11.7
20220401,랜드로버,246000,16.1
20180901,랜드로버,247000,13.6
20220101,랜드로버,193000,13.4
20160901,랜드로버,273000,10.7
20180101,랜드로버,241000,14.6
20160101,랜드로버,236000,13.2
20170301,랜드로버,218000,13.0
20161101,랜드로버,188000,16.3
20181101,재규어,158000,9.6
20161101,재규어,205000,12.2
20231001,FOTON,155000,7.8
20220301,FOTON,128000,6.2
20230601,FOTON,163000,6.6
20220201,마세라티,102000,7.9
20210901,마세라티,132000,5.8
20200701,포르쉐,146000,14.5
20220801,인피니티,192000,13.3
20180501,인피니티,182000,10.8
20180701,인피니티,201000,10.6
20210201,인피니티,178000,12.0
20171101,인피니티,187000,9.4
20160101,인피니티,135000,7.2
20160801,인피니티,126000,8.3
20170801,인피니티,157000,9.5
20160301,인피니티,124000,7.6
20230701,포르쉐,194000,13.4
20220201,스바루,230000,10.9
20221201,스바루,322000,12.0
20230801,스바루,255000,11.2
20180101,스바루,178000,6.9
20180401,스바루,152000,6.7
20191001,스바루,100000,7.4
20221001,스바루,116000,9.8
20190701,스바루,120000,6.6
20180701,포르쉐,108000,10.8
20160201,닛산,141000,7.3
20170401,닛산,203000,8.4
20210501,포르쉐,180000,13.1
20200601,미쓰비시,172000,12.3
20230101,미쓰비시,177000,12.3
20210601,미쓰비시,171000,13.4
20190401,미쓰비시,148000,9.5
20211101,북기은상,220000,5.0
20220701,북기은상,207000,5.8
20240301,북기은상,161000,7.1
20240401,북기은상,107000,5.4
20230601,마세라티,138000,8.2
20190801,포르쉐,131000,7.3
20240501,쯔더우,113000,6.0
20171201,새턴,194000,12.5
20210601,스마트,140000,12.0
20230501,벤틀리,118000,16.2
20150701,스즈키,160000,8.3
20190201,스마트,132000,14.1
20161201,스마트,176000,7.9
20240301,마쯔다,144000,17.4
20191101,허머,154000,13.7
20230701,스마트,153000,18.1
20160301,스마트,277000,10.7
20200701,스마트,142000,12.3
20170201,포르쉐,112000,10.8
20190701,포르쉐,204000,12.8
20170801,포르쉐,128000,17.3
20180701,이글,247000,21.4
20150701,이글,213000,16.5
20151201,이글,292000,16.8
20160701,이글,250000,19.5
20220601,이스즈,112000,28.7
20151201,폰티악,172000,18.4
